id,key,default,kr,en,description,loop,Type,
1,SFX_BUTTON_01,sfx_button_01,,,닫기 버튼 입력 시 출력되는 효과음.,-,,
2,SFX_BUTTON_02,sfx_button_02,,,"오픈, 아이콘 버튼 입력 시 출력되는 효과음.",-,,
3,SFX_BUTTON_03,,,,"내부 버튼 입력 시 출력되는 효과음. 오픈, 아이콘 버튼 보다 작은 버튼.",-,,
4,SFX_SCENE_CHANGE,,,,,-,,
5,SFX_EVENT_01_OPEN,,,,,-,,
6,SFX_EVENT_02_OPEN,,,,,-,,
7,SFX_ATTENDANCE_SUUCESS,,,,,-,,
8,SFX_WINDOW_OPEN,,,,,-,,
9,SFX_WINDOW_CLOSE,,,,,-,,
10,SFX_MINIGAME_01_OPEN,,,,,-,,
11,SFX_MINIGAME_01_START,,,,,-,,
12,SFX_MINIGAME_01_LOOP,,,,,-,,
13,SFX_MINIGAME_01_RESULT,,,,,-,,
14,SFX_GAMEIN,sfx_gamein,,,"게임 입장 시, 알림 효과음.",-,,
15,SFX_GAMEOUT,sfx_gameout,,,"게임 퇴장 시, 알림 효과음.",-,,
16,SFX_MY_TURN,sfx_my_turn,,,"내 턴이 왔을 시, 알림 효과음.",-,,
17,SFX_CARD_DELIVERY,sfx_card_delivery,,,카드가 날라가는 효과음.,-,,
18,SFX_CARD_MOVE,sfx_card_move,,,카드가 이동하는 효과음.,-,,
19,SFX_CARD_OPEN,sfx_card_open,,,카드가 오픈되는 효과음.,-,,
20,SFX_ALLIN,sfx_allin,,,"올인 시, 출력되는 환경음 ( 환호소리, 긴장감을 높이는 소리, 기대감을 높이는 느낌 )",-,,
21,SFX_BET,sfx_bet,,,칩 몇 개가 바닥에 떨궈지는 효과음.,-,,
22,SFX_RAISE,sfx_raise,,,바닥을 손바닥 또는 손등으로 두번 두들기는 효과음.,-,,
23,SFX_CHECK,sfx_check,,,칩 몇 개가 바닥에 떨궈지는 효과음.,,,
24,SFX_CALL,sfx_call,,,카드를 덮는 효과음.,-,,
25,SFX_FOLD,sfx_fold,,,칩 뭉치가 이동하는 효과음 ( 잘그락 ),-,,
26,SFX_CHIP_TO_DEALER,,,,,-,,
27,SFX_SHOWDOWN,,,,,-,,
28,SFX_WIN_RESULT,sfx_win_result,,,,-,,
29,SFX_USE_IMOTICON_01,,,,,-,,
30,SFX_USE_IMOTICON_02,,,,,-,,
31,SFX_TIMER_HURRY,sfx_timer_hurry,,,시간 종료를 알리는 경고 효과음.,-,,
32,SFX_LEAGUE_PROMOTION,,,,,,,
33,SFX_LEAGUE_RELEGATION,,,,,,,
34,SFX_BA_MAKE_MADE,,,,,,,
35,SFX_BC_INGAME,,,,,,,
36,SFX_BC_GAMESTART,,,,,,,
37,SFX_BC_BETSTART,,,,,,,
38,SFX_BC_BETCLOSE,,,,,,,
39,SFX_BC_TIMERCOUNT,,,,,,,
40,SFX_BC_CHIP_TO_BOARD,,,,,,,
41,SFX_BC_CARD_TO_BOARD,,,,,,,
